epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.143,0.19725,1.98134,0.95516,0.7571,0.71235,0.80498,0.79981,0.19007,1.42589,0.45921,0.00333234,0.00333234,0.00333234
2,650.261,0.17336,1.19806,0.91881,0.8168,0.77659,0.87512,0.86881,0.18459,1.81725,0.45171,0.00653369,0.00653369,0.00653369
3,948.386,0.1879,1.07532,0.92103,0.79778,0.78905,0.87313,0.86567,0.16522,1.51586,0.42467,0.00960304,0.00960304,0.00960304
4,1249.58,0.17098,1.00098,0.91452,0.89235,0.82449,0.91981,0.91413,0.16821,1.4256,0.42641,0.009406,0.009406,0.009406
5,1562.84,0.14454,0.90297,0.90747,0.90018,0.84783,0.93475,0.93171,0.1553,1.28964,0.41772,0.009208,0.009208,0.009208
6,1856.47,0.13123,0.84057,0.90221,0.90315,0.88034,0.94846,0.94547,0.1496,1.23473,0.4116,0.00901,0.00901,0.00901
7,2137.43,0.12256,0.8012,0.90018,0.91831,0.89506,0.95798,0.95543,0.11775,0.84873,0.36438,0.008812,0.008812,0.008812
8,2437.26,0.1155,0.76993,0.89752,0.92969,0.90241,0.96414,0.9622,0.13926,0.87123,0.39703,0.008614,0.008614,0.008614
9,2728.73,0.10953,0.74626,0.89623,0.93079,0.91356,0.9686,0.9669,0.12803,0.78363,0.3749,0.008416,0.008416,0.008416
10,3012.67,0.10492,0.72386,0.89461,0.93363,0.91763,0.9701,0.96856,0.11467,0.67299,0.35605,0.008218,0.008218,0.008218
11,3294.9,0.10228,0.70601,0.89355,0.93882,0.91743,0.97231,0.97118,0.10483,0.73454,0.34472,0.00802,0.00802,0.00802
12,3583.36,0.09978,0.69696,0.89259,0.94709,0.91902,0.97529,0.97398,0.11535,0.67619,0.36897,0.007822,0.007822,0.007822
13,3868.12,0.09708,0.67794,0.89261,0.94145,0.93092,0.97688,0.97552,0.10451,0.63155,0.35098,0.007624,0.007624,0.007624
14,4164.17,inf,0.66488,0.89176,0.94596,0.93134,0.97747,0.97628,0.10017,0.61041,0.3457,0.007426,0.007426,0.007426
15,4459.95,0.09368,0.65953,0.89071,0.95001,0.92731,0.97819,0.97714,0.09891,0.60093,0.34266,0.007228,0.007228,0.007228
16,4769.35,0.09189,0.64576,0.89144,0.95522,0.92375,0.97887,0.97798,0.09957,0.59804,0.34189,0.00703,0.00703,0.00703
17,5074.22,0.09073,0.6339,0.89003,0.94862,0.93089,0.97948,0.97855,0.095,0.6066,0.33619,0.006832,0.006832,0.006832
18,5375.82,0.08821,0.62315,0.88921,0.95717,0.92352,0.9798,0.97885,0.09296,0.60102,0.33246,0.006634,0.006634,0.006634
19,5678.18,0.08775,0.61952,0.88916,0.95707,0.92516,0.98021,0.97938,0.09414,0.59959,0.33332,0.006436,0.006436,0.006436
20,5987.34,inf,0.60947,0.88789,0.95737,0.92711,0.98059,0.97977,0.09391,0.58961,0.33228,0.006238,0.006238,0.006238
21,6290.89,0.08548,0.60195,0.88955,0.94649,0.93972,0.98105,0.98024,0.09281,0.58208,0.33076,0.00604,0.00604,0.00604
22,6575.28,0.0831,0.59354,0.889,0.95192,0.93672,0.9814,0.98058,0.09114,0.57169,0.32918,0.005842,0.005842,0.005842
23,6880.37,0.08212,0.591,0.88829,0.95087,0.94033,0.98172,0.98102,0.09095,0.57757,0.32932,0.005644,0.005644,0.005644
24,7171.62,0.08099,0.58664,0.88725,0.95005,0.94227,0.98195,0.98124,0.09138,0.57268,0.32996,0.005446,0.005446,0.005446
25,7453.28,0.07858,0.56872,0.88643,0.95312,0.94163,0.98231,0.98165,0.09045,0.55948,0.32864,0.005248,0.005248,0.005248
26,7736.57,0.07887,0.56902,0.88795,0.95258,0.94357,0.98261,0.9819,0.09057,0.55203,0.32894,0.00505,0.00505,0.00505
27,8020.72,0.07729,0.5613,0.88728,0.95535,0.94486,0.9829,0.98228,0.0921,0.55577,0.33203,0.004852,0.004852,0.004852
28,8303.76,0.07651,0.55806,0.88684,0.95511,0.94452,0.9831,0.98247,0.09084,0.5502,0.32998,0.004654,0.004654,0.004654
29,8600.78,0.07362,0.54498,0.88526,0.9573,0.94277,0.98345,0.98282,0.09053,0.53657,0.32944,0.004456,0.004456,0.004456
30,8888.15,0.0737,0.54116,0.88521,0.95142,0.95011,0.98385,0.98325,0.08989,0.53485,0.32881,0.004258,0.004258,0.004258
31,9189.61,0.07232,0.52852,0.88539,0.95905,0.94499,0.98414,0.98346,0.08917,0.53359,0.32779,0.00406,0.00406,0.00406
32,9484.82,0.07125,0.52313,0.88482,0.96112,0.94529,0.98445,0.98381,0.08917,0.52572,0.32807,0.003862,0.003862,0.003862
33,9768.41,0.07012,0.51583,0.88508,0.96438,0.9454,0.98475,0.98409,0.0881,0.51469,0.32728,0.003664,0.003664,0.003664
34,10052.2,0.06947,0.51272,0.88547,0.96361,0.94746,0.98507,0.98445,0.08691,0.509,0.32596,0.003466,0.003466,0.003466
35,10341.1,inf,0.50712,0.88406,0.96309,0.94884,0.98538,0.9848,0.08497,0.50752,0.32419,0.003268,0.003268,0.003268
36,10625.1,0.06638,0.50074,0.88348,0.96153,0.95085,0.98569,0.98507,0.0844,0.50483,0.32418,0.00307,0.00307,0.00307
37,10908.7,inf,0.49016,0.88345,0.96521,0.94958,0.98605,0.9854,0.08429,0.49297,0.325,0.002872,0.002872,0.002872
38,11188.9,inf,0.48325,0.88385,0.9633,0.9519,0.98641,0.98575,0.08427,0.48539,0.32565,0.002674,0.002674,0.002674
39,11470.2,0.06265,0.47342,0.88261,0.96821,0.94909,0.98671,0.98612,0.08541,0.48992,0.32765,0.002476,0.002476,0.002476
